movies,full_situation
"['Apollo 13', 'Back to the Future', 'Philadelphia']","Why did you recommend this movie? ACCEPT. Not a lot but who know's apparently I don't like the action films or dramas as much as I thought I did. ok maybe I'd like it. Another Tom Hanks movie. RECOMMEND Apollo 13 Funny, some action and an older movie Why did you recommend this movie? I don't have any comedies for you. What other genres do you enjoy? Do you like sappy feel good movies at all? Do you have any favorite directors? Why did you recommend this movie? It's a epic drama with tom hanks. It is the most comedic movie in my database. I have one movie that has a lot of funny moments. It is an adventure/action science fiction movie about time travel. Why did you accept the movie? RECOMMEND Philadelphia Actually, I have another Tom Hanks movie, about NASA. Think you will be interested? RECOMMEND Back to the Future It's an American Drama from the right year. Why did you accept the movie? ACCEPT. ACCEPT. My wife and I are looking from a film from the 90's for movie night. Can you help? We mostly like comedies, romantic comedies particularly. I did see a Tom Hanks where he fan across the united states that was a drama I loved. 99% of everything we watch is a comedy are you sure? We have seen one action movie we liked where Keanu Reeves stopped a bus from blowing up. I love Tom Hanks. It has Tom Hanks in it, which they like. Do you think you would be interested in very serious drama, docudrama, or thriller-horror? Why did you accept the movie?"
['Full Metal Jacket'],"1980s and 1990s mostly. Hello there. I'm really craving for a great movie. Can you help? Of course! What genres do you prefer? That looks like an epic war movie and from the 1980s too. I like that one. ACCEPT. Ok. Any time frame that you like best? RECOMMEND Full Metal Jacket Why did you accept the movie? No, not necessarily. Go ahead and recommend. Ok I have a few in mind for you! Would the 50s be too old for a war movie for you? I think this one would be a great fit for you based on your genre preferences Why did you recommend this movie? I like war dramas, crime movies, and some supernatural fantasy type movies."
"['In the Name of the Father', 'Braveheart', 'Good Will Hunting']","Why did you reject the movie? REJECT. i really like the stuff from the mid 90's. this was a great movie that fits all my preferences. Why did you recommend this movie? Why did you recommend this movie? Lets try another film. Do you like war films at all? Why did you accept the movie? Because it is biographical and 90s My favorite genre is drama. I have quite a few dramas that I think would be good. But if you'd like I can just try suggesting my personal favorite. ACCEPT. Sure, I'd love to. They don't call me an expert for nothing! Haha. Okay. Lets start by learning a little about your movie preferences. Tell me anything you want. Favorite genre, era, etc. Why did you recommend this movie? Why did you accept the movie? ACCEPT. That sounds good, I'd love to hear it do you prefer older movies or newer ones I am not interested in this movie. RECOMMEND Good Will Hunting Because the seeker indicated they love drama movies. This is honestly the best drama movie I have ever seen RECOMMEND In the Name of the Father It's one of my all time favorite movies. I feel this may be a better fit for this seeker it depends, i like things that are like based on actual events RECOMMEND Braveheart Hi, I'm hoping you can help me out. I'm looking for a movie"
['Full Metal Jacket'],"Why did you accept the movie? Okay! I have a suggestion for you based on that criterea! If you think it's something you'd like accept it, if not, reject it and we will try again! I like war films. I like drama, including American drama and war drama. Thanks, that sounds great. ACCEPT. Hi there! My name is Jessica and I'd be happy to recommend a movie for you! What genre do you like? I have recommendations for war films, dramas, crime movies? Hello! I am looking for some recommendations. war drama american movie Why did you recommend this movie? RECOMMEND Full Metal Jacket"
['Memento'],"What kind of genre would you say is your favorite? It's got thriller aspects and is a bit off the mainstream like the rest I liked. Why did you accept the movie? It has mystical influences and its a thriller rather than just your normal horror film. Why did you recommend this movie? RECOMMEND Memento Adventure with a bit of mystery in there. ACCEPT. Some of my favorite movies are Monty Python, Inception, Sin City, Black Swan and Fight Club. Would you say you are a fan of horror films? Dark side more then straight horror."
['Babe'],"Do you like comedy drama film? Comedy packed with drama in a film? sounds good! Why did you accept the movie? ACCEPT. Best Fantasy Film in 1998. Must be a good movie in the 90s. yes, please recommend I like popular fun movies like Toy Story, ET, Mary Poppins, Henry V Why did you recommend this movie? RECOMMEND Babe"
['Pulp Fiction'],"Interested in science fiction thriller Why did you recommend this movie? RECOMMEND Pulp Fiction how about the science fiction thriller that sounds interesting. Why did you reject the movie? Yes, I have some movies for you to choose from. I have a german-american war film, science fiction, japanese animated, science fiction thriller, and a comedy crime film. Would any of these interest you? I have a science fiction film that was made in 2006. The science fiction thriller is an independent movie from 2009. My Japanese animated film is an action film from 1988. Which would you like? It was not a science fiction thriller like i had requested. I would be interested in either the science fiction or the Japanese animated. REJECT. Hello. seen any good movies ?"
"['Career Girls', 'Dead Man Walking', 'Broken Flowers', 'Six Degrees of Separation']","Hey, sounds great. I can definitely help you with that. What genres do you like? Do you prefer early 90s or 2000s? Why did you accept the movie? ACCEPT. RECOMMEND Broken Flowers RECOMMEND Career Girls Why did you accept the movie? ACCEPT. comedy drama although different year Why did you recommend this movie? It is a drama and I like those. Why did you accept the movie? Why did you accept the movie? It is a comedy and drama which are both in my list. comedic overtones drama RECOMMEND Dead Man Walking Neither, I have romantic drama, epic western, drama with comedic overtones, Why did you recommend this movie? I like western, drama, comedy . 90's It is a drama comedy like others on my list. Why did you recommend this movie? down to just the crime drama and the historical drama which I asked about earlier. So I picked one Hi, I am looking for a movie Would you prefer a crime drama or a historical drama? RECOMMEND Six Degrees of Separation Why did you recommend this movie? Drama and comedy are in my list. ACCEPT. comedy drama 90s ACCEPT."
"['Full Metal Jacket', 'Looking for Richard', ""Schindler's List""]","has a war theme. A good war movie Why did you accept the movie? ACCEPT. i enjoy historical dramas. Let's see what you have in store for me. ACCEPT. Hello, I heard you're a movie expert. Why did you accept the movie? ok I have another Why did you accept the movie? Why did you recommend this movie? let's see what it is. I like crime dramas and 1990s movies. favorite actors or actresses RECOMMEND Schindler's List ACCEPT. good drama includes al pacino. RECOMMEND Full Metal Jacket Why did you recommend this movie? I might have something for you i specifically like crime comedy and movies about war. I enjoy owen wilson,al pacino, sean pen Yes I am, what movies are looking for? RECOMMEND Looking for Richard Seeker might find it interesting Why did you recommend this movie?"
"['Galaxina', 'Fried Green Tomatoes']",Hello! I am looking for a good movie to see. what genre do you like ? I like drama and comedy films. Why did you recommend this movie? comedy RECOMMEND Galaxina I am a huge fan of comedy drama. ACCEPT. its a comedy REJECT. Why did you recommend this movie? Why did you accept the movie? Why did you reject the movie? I am not a huge fan of science fiction. RECOMMEND Fried Green Tomatoes
"['American History X', 'Gran Torino']","Out of those, I think either American Bio, American Drama, or Science Fiction. Not western or romantic The genres I have listed are american bio, american drama, american neo-western and american romantic science fiction drama film The movie is american drama film closest to what the seeker wanted. Why did you accept the movie? RECOMMEND Gran Torino This movie is a drama like what the seeker requested. I have another suggestion that may be better. I like all sorts of directors... Robert Zemeckis, Sean Penn, Quentin Tarantino, David Fincher, and James Cameron If you have anything better let me know! I will try the one closest to what you mentioned. Why did you accept the movie? ACCEPT. Why did you recommend this movie? RECOMMEND American History X Why did you recommend this movie? ACCEPT. American drama, and lots of violence. Hi, I am looking for movie recommendations. I like epic movies such as Forrest Gump, Avatar. I also like other action packed films like FIght Club, Pulp Fiction, and Into the Wild. I like American drama films, and Clint Eastwood is a big name to go along with Tarantino. It's also in the last ~25 years, but not too new, which is good."
['Forrest Gump'],"Why did you accept the movie? ACCEPT. This movie contains the comedy and drama that the seeker likes. It also is a war movie. Why did you recommend this movie? RECOMMEND Forrest Gump I'm interested in thriller, fantasy-adventure, comedy, drama, and war movies from 1989-2007 It's a comedy-drama film."
"['Vertigo', 'Clerks', 'Fargo']","RECOMMEND Fargo Why did you recommend this movie? Why did you recommend this movie? RECOMMEND Vertigo Why did you accept the movie? I like the comedy ones the best! Why did you recommend this movie? How do you feel about thriller films? If you were to pick a comedy, would you choose a romantic comedy or a crime comedy? Why did you accept the movie? I heard this movie was very good. It's a comedy film. ACCEPT. I think it's fits my preferences. ACCEPT. ACCEPT. RECOMMEND Clerks I am good with those, do you have a good one for me? I love the Hitchcock films! I like the action movies and the sci fi ones! It's a thriller movie. probably crime. Why did you accept the movie? It's a crime comedy. Do you like crime movies or comedies?"
"['Get Shorty', 'Fargo']",I love Wes Anderson types of comedy movies. Has a lot of action How about this one? Or maybe you would like an older Alfred Hitcock? RECOMMEND Get Shorty RECOMMEND Fargo I love action movies and while it is somewhat of a thriller it has great action sequences. Why did you accept the movie? ACCEPT. Hello there. I love action movies. They are great to watch. My favorite actor is Keanu Reeves Why did you accept the movie? You have good taste but maybe we can find something better? What kind of comedies do you enjoy?? ACCEPT. Fargo is a great dark comedy movie. Why did you recommend this movie? Why did you recommend this movie?
['Braveheart'],"ACCEPT. hi, i'm trying to find a drama/ war kind of movie could you help me? this is an award winnind war movie that seeker likes RECOMMEND Braveheart Why did you accept the movie? what kind of movies do you like it's a war, drama movie my favourite type war , drama movies Why did you recommend this movie?"
"['Saving Private Ryan', 'Horsemen']","I also like great movies that have won awards and actors like Tom Hanks and Sigourney Weaver! I have been on your sis and it does not SAY that lol.. great film RECOMMEND Saving Private Ryan You should have at leat 5 movie titles to the left of you.. Partner needs to give movie titles! Oh, I can't think of the particular titles, but I like comedies, horror, drama and films depicting war! I also like the Screenwriter Ed Wood quite a bit. Why did you reject the movie? Why did you recommend this movie? ACCEPT. I also like movies from the 70's through the 90's a lot! (We're supposed to be in character and not explicitly state the movies) Hi there. I sure can. You came to the right place. First let me ask you What are some of your favorite movies by titles? RECOMMEND Horsemen Why did you recommend this movie? I don't think it fits the time era I like. It's a Tom Hanks movie from the 90's, it fits the movies I have been liking lately! Why did you accept the movie? Hello, I am looking for a quality film to end my evening with, can you assist me in finding such a film? REJECT."
"['Match Point', 'Nightcrawler', 'Inception', 'Django Unchained ()']","ACCEPT. Unfortunately i do not have recommendations as far as those film directors. The good news is I do have an action film I think may fit your taste. ACCEPT. Why did you accept the movie? Why did you accept the movie? Why did you accept the movie? Why did you recommend this movie? ACCEPT. RECOMMEND Inception That would be great! Any other action or thriller films?  Maybe crime? I like crime films! It is sure to have action as well. ACCEPT. Why did you recommend this movie? Why did you recommend this movie? It has everything the seeker requested. RECOMMEND Match Point Why did you accept the movie? How about another suggestion ? Yes I do like action, thriller, and dramas. War movies are interesting to me. Why did you recommend this movie? RECOMMEND Django Unchained () It has action elements just like the seeker wants. It is a drama film and from the time frame of another drama film I like. RECOMMEND Nightcrawler I felt it was a good pick that has all the elements the seeker is requesting. I liked another movie with Quentin Tarantino, so I'll probably like this one as well! Given my available options and choices already it seemed like the best fit. I like science fiction and action! Hi! I really like films with George Cooney or Sandra Bullock..I also am a fan of movies with action or thrilling elements"
"[""Singin' in the Rain"", 'Moonstruck', 'When Harry Met Sally…', ""Sophie's Choice"", 'Rain Man']","Why did you recommend this movie? RECOMMEND Sophie's Choice RECOMMEND Singin' in the Rain I'm good, thank you. What movies are you interested in? penny Marshall is one of my favorites I also like Robert Wise. Okay, I think have a good one for you, and despite it being listed as a romantic comedy, it's also a drama. It's an American Drama. RECOMMEND When Harry Met Sally… Why did you accept the movie? I hope it is one I will enjoy. I like a wide range of movies mainly from the drama genre and a lot of the films I have watched seem to be very serrious RECOMMEND Rain Man It's a drama. I think I should have rejected it btu I am new to this and accepted it. I accepted it as it is a romantic comedy, but the more I look at it it seems like I would have prefered a drama although this could have a drama theme which is what made me accept it. What directors do you like? I like drama movies a lot and I am also into comedey. ACCEPT. I accepted this film because it is a classic which I likr and it fits my style. It's a musical comedy. That's good. Just remember that this hit doesn't follow personal preferences, you need to look at the list of movies and see what genres they fall under. It's hypothetical. I am into drama films and I have heard a lot about rain man but I have never seen it. After reading the summary it sounds to be very interesting Why did you recommend this movie? ACCEPT. ACCEPT. This movie fits the choices that I would like the best so far it is a drama which is what I enjoy and the plot sounds interesting too. I think I may be starting to get the hang of this now. Why did you accept the movie? Why did you recommend this movie? ACCEPT. I do like musicals such as broadway shows. Why did you accept the movie? Why did you recommend this movie? I accepted it as it is a musical much like west side story and it is an older film which I am looking for. Why did you accept the movie? ACCEPT. Why did you recommend this movie? RECOMMEND Moonstruck It's a comedy, and it starts Meg Ryan. hi how are you. It's a comedy-drama. Why did you accept the movie?"
['Interstellar'],"What about biographic? what about science fiction? RECOMMEND Interstellar I like science fiction. Why did you recommend this movie? The seeker likes science fiction movies. sure. I like sci fi. ACCEPT. I am looking for a movie to watch.  I like German dramas, sci fi heist action, American comedy heist, American westerns, and fantasy films Why did you accept the movie?"
['Reservoir Dogs'],"ACCEPT. What about some actors that star in your favorite movies? Are there any that show up often in your favorites? RECOMMEND Reservoir Dogs Why did you accept the movie? Spielberg, James Cameron, Quentin Tarantino, Danny Boyle, John Sayles I am analyzing a little bit, hold tight. What are some directors you enjoy? It's directed by Quentin Tarantino, and I consider it to have dark comedy notes. It also involves crime, like Trainspotting. It looks like a film similar to Pulp Fiction and Trainspotting, seems perfect Why did you recommend this movie? Travolta, Tom Hanks, Sigourney Weaver, Chris Cooper to name a few Hi, I like epic war films like Saving Private Ryan, but I also like the dark comedies like Pulp Fiction and Trainspotting, even science fiction horror like Aliens is cool too, any suggestions for a movie?"
"['Manderlay', 'Harry Potter and the Goblet of Fire']","I don't have any food, but I can recommend you some good movies if you tell me which kind of movie you would like to watch ACCEPT. REJECT. Why did you recommend this movie? it is drama with some action Lol, yes good movies. Do you have anything that is fantasy sci-fi, dramatic action, romantic comedy, or a biopic film? Why did you accept the movie? I've liked Harry Potter in the past. Why did you recommend this movie? Hello, do you have anything food for me to watch? RECOMMEND Harry Potter and the Goblet of Fire RECOMMEND Manderlay Why did you reject the movie? I think the movie is a little too foreign for me. it is one of the most famous sci-fi move with dramatic plots"
['Shrek'],"I liked Animated films as well as fantasy movies and this is a mix of both. Hello, I am a fan of fantasy movies and some comedies. ACCEPT. We have many options. This is just the most popular one. Hi! Well I hope I can help you find something new to watch. Do you like animated films? I do like animated films. do you like horror, or do you watch more sci fi Why did you accept the movie? RECOMMEND Shrek Why did you recommend this movie? Neither of those are genres I particularly like. I do however like adventure films."
[],"i think you should like this No, my favorites are Saving Private Ryan, Penelope, Harry Potter, How lose a guy in 10 days, and Gone Girl explain me did the movie is action or not? i like  also I think Vin diesel was in that movie with Tom Hanks. oh i want to see it I like war films with Tom Hanks. ACCEPT. It is a war film. Hello. I like it but it is not one of my favorites. Because I love harry potter. which movie is this? i think you should like this then what about beauty and the beast I like harry potter. Saving Private Ryan. hello i like films with win diesel what you think about avengers infinity war You are supposed to recommend movies to me. Do you know how to play this game we are doing?"
['Up'],"RECOMMEND Up Animated, not really dark Do you like animated comedies? And if you do, do you like darker ones, or more cheery Disney ones? ACCEPT. American definitly. They like comedies, and may enjoy this animated film. I a big comedy nerd, and I ove tom hanks.  But really anything that gets my laughing I can do I have heard its funny, and I am a fan of animation movies Why did you recommend this movie? Why did you accept the movie? Do you think you would like a Disney animated film, or an American drama?"
"[""There's Something About Mary""]","Why did you accept the movie? Hi! I'm looking for a new movie to watch this weekend, can you help? ACCEPT. RECOMMEND There's Something About Mary This is a late 90s comedy that I think I'd enjoy! Well, I really like comedies! And I enjoy movies that were made in the late 90s! No, I haven't but I think I'm really going to like it! Thank you for the great recommendation! Yes! What type of movie are you looking for? Why did you recommend this movie? It is a comedy film made in the 90s. It is exactly what you are looking for. Have you watched this movie before?"
"['Toy Story 2', 'Jurassic Park']","ACCEPT. Its the sequel to a movie I mentioned, has tom hanks and is a family movie. Well they mentioned Toy Story right off, and Tom Hanks. This was a no brainer. ACCEPT. Why did you accept the movie? Why did you recommend this movie? Sports or dinosaurs? Hello.  I like comedies.  I am okay with family friendly movies like Toy Story.  Do you have any recommendations??  I also like Tom Hanks Why did you accept the movie? dinosaurs I'd say. RECOMMEND Jurassic Park It is a family friendly movie and it is also funny. RECOMMEND Toy Story 2 Why did you recommend this movie? Family friendly and dinosaurs."
"['Happy Gilmore', 'Stand by Me']","Perhaps something more dramatic might interest you? Do you like eighties movies? Only one way to find out, really. I'm not sure if I'll like it, but it seems like something that I might. Why did you recommend this movie? There's something to say about a good comedy, I seem to enjoy all sorts, from Monty Python all the way to Kingpin. I also like the blockbuster types like E.T., so do you have anything to recommend that fills these sort of parameters? RECOMMEND Happy Gilmore ACCEPT. This may be what I'm looking for, but I'm not entirely sure. Why did you accept the movie? Why did you accept the movie? I do! Would you say you're more into sci-fi than drama? ACCEPT. RECOMMEND Stand by Me It's a fun comedy I think he would enjoy. I think it could go either way, but I'd rather watch a drama most times. Yeah, I seem to enjoy movies from all eras. Perhaps something with both drama and comedy if you can think of any? Or just a really good movie, I seem to enjoy classics. This has a good mix of comedy and drama. Why did you recommend this movie?"
['Being John Malkovich'],"RECOMMEND Being John Malkovich It is a comedy, which I wanted. It also had other genres I enjoy. I would like to see a comedy most of all. I also enjoy dramas. They can have fantasy. It's great! It has all the elements that you are looking for -- comedy, drama AND fantasy. Why did you accept the movie? Why did you recommend this movie? ACCEPT."
"['Mountains of the Moon', 'Hot Tub Time Machine', 'Megamind', 'Our Idiot Brother', 'Toy Story 3']","Why did you recommend this movie? lets do it, time maching will have some space in it hopefully! do you like any other types of movies? seems interesting, I think ive seen this trailer before. Why did you recommend this movie? Why did you recommend this movie? ACCEPT. RECOMMEND Toy Story 3 Why did you accept the movie? Ive heard this movie is hilarious.  I would love to see it. RECOMMEND Our Idiot Brother RECOMMEND Megamind real life probably, never been a fan of cartoon like movies. I like super hero movies, Thisone might be cool. honestly its all that is left ACCEPT. Why did you accept the movie? he said he didnt like animation ACCEPT. if you had to pick between animated comedy or real life drama which would you prefer those are awesome.  Do you prefer popular movies or those that no one knows about but are still great RECOMMEND Mountains of the Moon Why did you recommend this movie? ACCEPT. i am thinking something sci fi. Something that makes me want to fly through space. RECOMMEND Hot Tub Time Machine Why did you accept the movie? this was one of my favorite movies aas a child, still may be. well it is still a bit sci-fi i prefer cult classics. Why did you accept the movie? Why did you accept the movie? Why did you recommend this movie? well fits with flying thru space this I think would qualify as a cult classic ACCEPT. maybe something funny,  or a war thriller, Im open to anything really."
"['Megaforce (or MegaForce),', 'Silver Streak', 'Batman Begins', 'Jurassic Park']","I love this movie. Its a comedy and adventure. REJECT. Why did you reject the movie? RECOMMEND Batman Begins Not sure I like that movie. It's an 80s action flick Why did you recommend this movie? Good action adventure film RECOMMEND Silver Streak ACCEPT. I have never heard of it. Why did you recommend this movie? Why did you recommend this movie? What about scifi or drama? RECOMMEND Megaforce (or MegaForce), It's a good action movie I like older movies. Mostly adventure/action and some comedy Why did you accept the movie? RECOMMEND Jurassic Park ACCEPT. REJECT. I do like a little sci fi, but drama is good Why did you accept the movie? Why did you recommend this movie? It's an older movie and a thriller Why did you reject the movie?"
"['Aliens', 'Indiana Jones and the Last Crusade', 'Toy Story 2']","Because I liked the original TOy Story. REJECT. Okay. REJECT. They enjoy computer animation. Why did you reject the movie? ACCEPT. This is a adventure movie. Why did you recommend this movie? Why did you reject the movie? I like crime drama, computer animation, sci fi, british drama Why did you accept the movie? RECOMMEND Toy Story 2 It is a science fiction film. Why did you recommend this movie? RECOMMEND Indiana Jones and the Last Crusade RECOMMEND Aliens Space sci-fi is no among my likes. I will recommend a different film based on your preferences. Why did you recommend this movie? There are no fantasy-adventure movies among my likes."
"['Being There', 'Meet the Applegates', 'Apocalypse Now', 'Fight Club']","ACCEPT. It's comedy. Hi, I would like a comedy, drama, crime/thriller, or neo-western thriller. Do you have any recommendations? ACCEPT. I have a good comedy drama Why did you accept the movie? Yes and HE is the best part of the movie! I don't really like war movies but it looks good. ACCEPT. Why did you recommend this movie? What others do you have to recommend? Great I would love to see what it is. RECOMMEND Being There ACCEPT. RECOMMEND Fight Club Its an amazing movie with a huge cult following. Its got action, drama and is very very funny Why did you accept the movie? Why did you accept the movie? Any thriller? Why did you recommend this movie? Why did you recommend this movie? RECOMMEND Apocalypse Now Yup! and its super funny! Okay. This is a great movie. it won a few academy awards and is Best comedy 1980 its based on a book I have a great choice it is not a western but fits all the other boxes Its a war based movie lots of action drama and thrills Why did you accept the movie? Why did you recommend this movie? Anything like the movie Taxi Driver or Primer? Yeah a dark comedy RECOMMEND Meet the Applegates its a dark movie like Primer with lots of drama and bit of syfy twisted in I like it's an older movie and comedy drama. Brad Pitt is in it."
"['Shrek', 'Kung Fu Panda', 'Indiana Jones and the Last Crusade', 'Harry Potter and the Order of the Phoenix']","ACCEPT. Absolutely! Yeah, I like Harry Potter. Monty Python, So I married an Axe murderer, Harry Potter, Ice Age, and Monsters inc. RECOMMEND Harry Potter and the Order of the Phoenix RECOMMEND Shrek This is a little more light-hearted, but is very fun and very funny. What have been some movies in the past that you've liked that you'd like to see something similar to? ACCEPT. I love animation and comedy. ACCEPT. Why did you accept the movie? It's a fun animated film that combines comedy, and some thrilling action. ACCEPT. I like animated films. Why did you recommend this movie? This is a little different but it's got some laughs as well as high octane action. It's a pretty good fantasy film, perhaps you haven't seen this installment yet. Why did you accept the movie? Would you be interested in a movie that combines action, comedy, is an animated film? RECOMMEND Indiana Jones and the Last Crusade Why did you recommend this movie? Why did you recommend this movie? Why did you accept the movie? Why did you accept the movie? Why did you recommend this movie? I like adventure films somewhat. I like comedies, comedy thrillers, fantasy, adventure, and animated films. Would you be interested in fantasy styled movies? RECOMMEND Kung Fu Panda I love Harry Potter."
"[""Who's Afraid of Virginia Woolf?"", 'Dances with Wolves', ""Schindler's List""]","Hello! Are you ready? This is a heavy movie but an excellent one. Okay.  So I'm looking at WWII drama, Vietnam War Drama, a documentary about jazz, and movie that's adapted from a stage play.  Any thoughts? There are no comedies that I would suggest, so how about either war/conflict-related dramas or documentaries? Why did you accept the movie? RECOMMEND Dances with Wolves RECOMMEND Schindler's List ACCEPT. Why did you accept the movie? This one is set in post-Civil War America ACCEPT. I'm into dramatic movies. Why did you recommend this movie? ACCEPT. I like comedies and drama movies. I like 90's films. Maybe the movie adapted from a stage play? I am ready.  Let's go! This is an excellent story.  A lot of people like it. RECOMMEND Who's Afraid of Virginia Woolf? I'm not really into war movies, what about science fiction or horror? Why did you accept the movie? I really like drama movies, and I'm a huge fan of romantic comedies! Why did you recommend this movie? Why did you recommend this movie?"
['Young Frankenstein'],"Why did you accept the movie? This is a fun classic comedy It's a comedy directed by Mel Brooks, like another movie I like. RECOMMEND Young Frankenstein I'm a big fan of American and British comedy films. ACCEPT. Why did you recommend this movie?"
"['Some Like It Hot', 'Apocalypse Now', 'Groundhog Day', 'Brazil']","Why did you accept the movie? ACCEPT. Why did you recommend this movie? RECOMMEND Groundhog Day I don't have any sci fi but what about fantasy comedy with Bill Murray? Why did you recommend this movie? Not really war, but perhaps if it is an epic. Let's go with Sci Fi. I do like come comedy, hit me with it. I thought you might like an American fantasy comedy. Why did you accept the movie? Why did you recommend this movie? ACCEPT. I like some Monty Python so this could work. This has a fun premise and I like 80s movies and comedy. RECOMMEND Apocalypse Now ACCEPT. It's a pre-90s movie that looks pretty epic. Why did you accept the movie? Why did you accept the movie? It is an epic American war film set in the Vietnam War era. Why did you recommend this movie? ACCEPT. It's another older comedy with older actors like Jack Lemmon and Marilyn Monroe Do you like epic war movies? Which genre do you like the best out of the two? RECOMMEND Brazil It's an older movie I may like. It's a British fantasy satire, thought you might like to try that one. RECOMMEND Some Like It Hot Hi, I like older movies, stuff from the 80s and back mostly. Some suspense and maybe sci fi is nice, like Ridley Scott films."
['Blade Runner'],"Absolutely. Blade Runner (and the sequel) are two of my favorite moves of all time! Why did you accept the movie? Hiya! What kind of genres do you like? Is there any actors or directors you like as well? Hell there... I'm looking for a movie recommendation that I would enjoy. ACCEPT. RECOMMEND Blade Runner This movie is a science fiction movie. Why did you recommend this movie? Well... of course Spielberg is the best... and I also like off the wall comedy stuff, like Monty Python Movies. Also, love Sci-Fi... Alien was awesome"
['Pulp Fiction'],"i like a good thinker type movie. sounds good. Why did you recommend this movie? Do you like westerns? It's a cult classic, nearing regular classic levels, and really involves your brain. Like the seeker said, it's a bit of a thinker. What are some examples of movies and directors you enjoy? ACCEPT. naw i dont like. i really like a classic movie. not really. Why did you accept the movie? That's pretty broad, there are so many great types of classic movies. How do you feel about musicals? RECOMMEND Pulp Fiction"
"['Kalifornia', 'Quiz Show', 'Mute Witness', 'Bitter Moon']","RECOMMEND Mute Witness I am not a big fan of horror movies, I have said. Why did you reject the movie? Why did you accept the movie? Ok perfect let me look into this and see what I might have for you! Why did you recommend this movie? It's an early 90's film that has some historical significance. It seems like a dark thriller RECOMMEND Kalifornia REJECT. Why did you reject the movie? cheesy Why did you recommend this movie? Since Q.T is you type of director this may be the one just for you Really liked the movie Pulp Fiction. I typically enjoy Quentin Tarantino films and Samuel L Jackson was a beast. Why did you recommend this movie? Why did you reject the movie? RECOMMEND Quiz Show RECOMMEND Bitter Moon Why did you recommend this movie? REJECT. ACCEPT. Need one with less horror, more action, some historical significance. Excellent. Other movies that I particularly enjoyed were ""In The Line of Fire"" and ""Red Rock West"" - both exceptional films that came out in 1993. I have a penchant for neo-noir and thriller films that star Clint Eastwood. This is something more like what the seeker wants REJECT. That sounds okay, but I want something with a little less romance and a lot more action."
"['Die Hard', 'Chinatown', 'Jurassic Park']","It's part psychological drama which sounds like it could be up my alley. I've enjoyed another Spielberg film. Okay, I think I may have something for you. RECOMMEND Die Hard Why did you recommend this movie? ACCEPT. I think I have it figured out now for sure. RECOMMEND Chinatown It is an adventure movie similar to Indiana Jones. ACCEPT. Sure.  Taxi Driver, Hoop Dreams, Indiana Jones And The Last Crusade, Alien and There's Something About Mary. Why did you accept the movie? Why did you accept the movie? RECOMMEND Jurassic Park Why did you recommend this movie? Why did you accept the movie? Alright, I hope so.  I really want something to watch tonight! Hi, can you tell me the name of the movies you like? I've heard this film is a good one. It is in the same time period as Taxi Driver. Why did you recommend this movie? ACCEPT. That's great! This is a crime vigilante type of film. Hello!  I really enjoy documentaries, fantasy adventure, sci-fi horror, comedy and crime/vigilante/psychological thrillers.  I prefer movies from pre-2000."
"['Galaxy Quest', 'Alien']","I like scifi movies. ACCEPT. it's a really good horror science fiction movie Why did you accept the movie? RECOMMEND Alien yes. Because I like scfi movies. in my opinion it's a great movie for scifi themed movies RECOMMEND Galaxy Quest would you be interested in a horror scifi film? Because i love scfi movies, and the description sounds fun. awesome me too, do you tend to go for space theme or more like alien kind of person Why did you recommend this movie? I like it all. ACCEPT. Why did you accept the movie? Why did you recommend this movie?"
"['Rushmore', 'Brazil', 'Blue Velvet']","Go for it! RECOMMEND Brazil Hmm looks like that wasn't a match! I have one more movie that isn't a war movie! Let's give it a shot! Why did you recommend this movie? Why did you accept the movie? Billy Murray is so great! Unfortunately that's the only comedy I had to recommend. What about thrillers or Terry Gilliam movies? Or what about war movies? Okay! Let me suggest another that isn't a war movie! ACCEPT. ACCEPT. Not a war movie RECOMMEND Blue Velvet Because it's not a war movie Why did you accept the movie? Hi there! I have a comedy suggestion for you! Let me know if you like it! Why did you recommend this movie? Laura Dern is a great actress. Why did you accept the movie? I like satire movies, it's a different form of comedy. RECOMMEND Rushmore Awesome, what is it? I've never sen it but Bill Murray is pretty funny. Haha, let's try it! Hi there, I like a lot of different kinds of movies, especially comedies. Never heard of Terry Gilliam and I'm not a big of war movies, too violent for me! ACCEPT. Comedy Why did you recommend this movie?"
"['Blade Runner', 'Evelyn', 'Contact']","this a better pick Why did you accept the movie? RECOMMEND Contact Why did you recommend this movie? Why did you recommend this movie? Alright! I science fiction as well Why did you recommend this movie? Seems perfect for me! Why did you accept the movie? I really enjoy action horror like Alien and ALiens, also comedy films! ACCEPT. this is a great movie Why did you accept the movie? ACCEPT. RECOMMEND Blade Runner I do enjoy dramas and movies from the 200s. great scifi RECOMMEND Evelyn ACCEPT. I love drama sci fi. Nice picks..I am sure I can find you something."
['Fight Club'],"No. Would you like a movie about a discontented ""everyman""? ACCEPT. It seems the closest to a neo-noir mystery I like neo-noirs. Why did you recommend this movie? Why did you accept the movie? RECOMMEND Fight Club I think I do. Do you like 80s movies? Hi, do you have any recommendations that are like Pulp Fiction comedy crime or Memento which is a neo-noir myustery? Sure?"
